users,topic,times,quote,text
tsvoff,Books&Literature, 10 мая 2014 г. 10:02   [нажмите здесь чтобы увидеть текст поста],это точно была художественная книга,"цитата Эгоистка71это точно была художественная книга""Шарлотта Грей"" Себастьяна Фолкса? Еще фильм такой есть, с Кейт Бланшетт."
Эгоистка71,Books&Literature, 12 мая 2014 г. 13:38   [нажмите здесь чтобы увидеть текст поста],,"К сожалению, нет. Погуглилась: сюжет существенно отличается."
Magistrsan,Books&Literature, 13 мая 2014 г. 19:48   [нажмите здесь чтобы увидеть текст поста],,"Помогите вспомнить название книги и если можно автора. Читал, когда был совсем маленьким, в 12 — 13-летнем возрасте. Сюжет не помню). Единственное что всплывает в памяти — это какой-то лифт, с помощью которого герои путешествовали во времени, были в книге роботы-пауки или какие-то другие механические насекомые)"
Marmotta,Books&Literature, 13 мая 2014 г. 20:22   [нажмите здесь чтобы увидеть текст поста],,"Magistrsan Может быть, Зденек Слабый ""Три банана, или Петр на сказочной планете""? Еще мультик такой был с песенкой: ""Три банана!"" "
rumeron87,Books&Literature, 13 мая 2014 г. 20:37   [нажмите здесь чтобы увидеть текст поста],,Magistrsan похоже на Реквием Машине времени (Бич времен) Головачева.
Magistrsan,Books&Literature, 14 мая 2014 г. 21:18   [нажмите здесь чтобы увидеть текст поста],,rumeron87 Спасибо) Это Бич Времен. Узнал по обложке.
nelle,Books&Literature, 30 июня 2014 г. 13:44   [нажмите здесь чтобы увидеть текст поста],,"Помогите, пожалуйста, найти!3 книги из советского детства (все авторы точно советские):1. Обложка темно-красная или бордовая, книга рассказывает о девочке, которая потерялась в годы послереволюционных перипетий, они ищет маму, о маме говорится, что у нее была потертая котиковая шуба и когда девочка смотрела на маму снизу вверх нос мамы напоминал форму сердечка.2. Обложка светло-салатовая, повести о жизнив послевоенные годы, видимо ленинградского писателя, так как в одной из повестей ребенок был рожден (усыновлен) в роддоме на канале Грибоедова3. Обложка светло-коричневая. Герой — школьный учитель, кажется истории, пишет книгу, которую читает своим ученикам, в книге идет речь о жизни на приисках, есть героиня Любаша, родившая позже девочек-близнецов и обладающая экстрасенсорными способностями, которую на приисках считали ведьмой."
Fiametta,Books&Literature, 5 июля 2014 г. 09:27   [нажмите здесь чтобы увидеть текст поста],," Повесть в сборнике приключенческой литературы 70-х годов издания о вторжении Дария в Скифию. Упоминаются ""амазонки""-сарматки."
Гвардеец,Books&Literature, 5 июля 2014 г. 09:56   [нажмите здесь чтобы увидеть текст поста], о вторжении Дария в Скифию,"цитата Fiametta о вторжении Дария в СкифиюВ ""исторических романах"" на предпоследней странице об этом речь шла.  Возможно дилогия ""Саки"" Булата Жандарбекова""  или ""Меч Зарины"" Клары Моисеевой"
SAG,Books&Literature, 5 июля 2014 г. 09:57   [нажмите здесь чтобы увидеть текст поста],, Fiametta   http://fantlab.ru/edition54940
SAG,Books&Literature, 6 июля 2014 г. 13:58   [нажмите здесь чтобы увидеть текст поста],,"Не множко не в тему, но нужна помощь. Все помнят телесериал ""Адъютант его превосходительства"". Уже в последнее время Игорь Болгарин, с Г. Северским и В. Смирновым написали продолжения. Получился цикл http://fantlab.ru/work566737  Далее Болгарин и сам его продолжил. Ну например такие книги, как ""Миссия в Париж"" и другие, один всего четыре, как он пишет о цикле. Какие книги он написал? Всего он пишет в цикл входят 8 книг. Но, надо точно, так как возможны разночтения в названиях, чем грешат современные издательства, выдавая одну и ту же под разными названиями."
LeonidM,Books&Literature, 7 июля 2014 г. 09:47   [нажмите здесь чтобы увидеть текст поста],Всего он пишет в цикл входят 8 книг.,"цитата SAGВсего он пишет в цикл входят 8 книг.1. Болгарин И., Северский Г. ""Адъютант его превосходительства""2. Болгарин И., Северский Г. ""Седьмой круг ада""3. Болгарин И., Смирнов В. ""Милосердие палача""4. Болгарин И., Смирнов В. ""Багровые ковыли""5. Болгарин И. ""Миссия в Париж""6. Болгарин И. ""Расстрельное время""7. Болгарин И. ""Чужая луна""8. Болгарин И. ""Мертвые сраму не имут"""
ameshavkin,Books&Literature, 27 июля 2014 г. 16:32   [нажмите здесь чтобы увидеть текст поста],,"_Y_ судя по фейерверкам, ""Рэгтайм"" Остальное сдвинуто в разные стороны."
_Y_,Books&Literature, 27 июля 2014 г. 19:11   [нажмите здесь чтобы увидеть текст поста],"""Рэгтайм""","цитата ameshavkin""Рэгтайм""Посмотрел в Википедии — точно он. Спасибо. Я оказывается полностью забыл, что там еще была линия чернокожего музыканта. А вот что сдвинуто в разные стороны, я не понял."
ЯэтоЯ,Books&Literature, 28 июля 2014 г. 10:46   [нажмите здесь чтобы увидеть текст поста],,"_Y_А не Рэгтайм ли часом, который авторства Доктороу и в переводе Аксёнова..."
ЯэтоЯ,Books&Literature, 28 июля 2014 г. 10:48   [нажмите здесь чтобы увидеть текст поста],,О...Написал ответ с ещё той страницы — а тут уже ответили...
Greisvandir,Books&Literature, 1 августа 2014 г. 11:22   [нажмите здесь чтобы увидеть текст поста],,"Здравствуйте! Подскажите, пожалуйста:Книга отечественного автора, описывается быт староверов в Сибири, помню, один из них, сильный молодой парень, выбрался в город, пил в какой-то таверне, сказанул, что больше не верит в Бога, и на него ополчились все посетители во главе с каким-то молодым купцом."
Dentyst,Books&Literature, 1 августа 2014 г. 12:38   [нажмите здесь чтобы увидеть текст поста],,"GreisvandirПро староверов ""Хмель"" Черкасова.                                 ""В лесах"", ""На горах"" Мельникова-Печерского."
Kairan,Books&Literature, 29 августа 2014 г. 02:52   [нажмите здесь чтобы увидеть текст поста],,"pitiriman ismagil нет и нет.Рассказ отыскал самостоятельно, он называется ""Не в ту дверь"". http://fantlab.ru/work50927"
Пимыч,Books&Literature, 12 сентября 2014 г. 20:27   [нажмите здесь чтобы увидеть текст поста],,"Книгу читал где-то в конце 80-х. Название и автора не помню. Помню один эпизод. В конце 44-го, или в начале 45-го в госпитале лежат несколько солдат-союзников -- американец, француз, итальянец (то ли пленный, то ли на тот момент уже союзник), вроде бы поляк, или англичанин. Постоянно ссорятся, находят разные обиды. Француз злится, что союзники долго не высаживались в Нормандии, амер себя вообще выше всех ставит, один у него паршивый лягушатник, другой вонючий макаронник. Остальные тоже какие-то обиды вспоминают. И тут немцы прорвали фронт, госпиталь эвакуировать не успели. Все, кто смог, взяли оружие и вступили в бой. И забылись обиды, кто-то кого-то прикрыл, кто-то танк взорвал, в общем боевое братство. Вот все, что я помню (приблизительно). Даже не помню, рассказ это был, или эпизод из повести. Буду благодарен, если кто-нибудь подскажет назание."
rash2,Books&Literature, 27 сентября 2014 г. 19:22   [нажмите здесь чтобы увидеть текст поста],,"Помогите вспомнить название книги и ее автора. Художественный роман о художнике и его жизни. Помню только эпизод. Время СССР. Герой приезжает в дом отдыха и создает там в порыве вдохновения картину — белое на белом, сам себе удивляясь что ушел от реалистической живописи то ли к символизму, то ли к кубизму (вот к чему он скатился уже не помню точно). Единственное что могу точно сказать — книга написана в советские времена, так как читала в 1989-1990 годах. Значит скорее всего была издана в 70-80-х годах."
adgolov,Books&Literature, 3 октября 2014 г. 22:58   [нажмите здесь чтобы увидеть текст поста],,"Япония, времена самураев, в финальной схватке молодой воин наносит смертельный удар своему сопернику,супер-самураю,  заклятому врагу, и пока злодей ещё не ""отдал душу"" своему самурайскому богу, противники выясняют, что они не только враги, но ещё и близкие родственники, а именно отец и сын. (вот такая, самурайская Санта-Барбара) Не могу вспомнить название романа, давненько читал, подскажите пожалуйста."
Dentyst,Books&Literature, 3 октября 2014 г. 23:56   [нажмите здесь чтобы увидеть текст поста],,"adgolovЭто второй роман дилогии ""Честь самурая"" Дэвида Чейни — ""Путь меча"" и ""Мастер меча"". Мне эта штучка очень нравилась, несмотря на сантабарбарщинку. Есть мысль перечитать."
adgolov,Books&Literature, 4 октября 2014 г. 00:05   [нажмите здесь чтобы увидеть текст поста],,"Второй ...... Х-м-м, вот, хоть убей, не помню, читал всю дилогию или только ""Мастера меча""? Ведь, совершенно не помню, что  эта история, была в двух книгах.Уважаемый Dentyst, большое спасибо!"
rina_salsa,Books&Literature, 18 октября 2014 г. 15:49   [нажмите здесь чтобы увидеть текст поста],"rina_salsa серия ""Возникновение человека""http://www.ozon.ru/context/detail/id/1532...","цитата heleknarrina_salsa серия ""Возникновение человека""http://www.ozon.ru/context/detail/id/1532...Это оно!я Вам очень благодарна:))"
IW-GDK,Books&Literature, 18 октября 2014 г. 20:32   [нажмите здесь чтобы увидеть текст поста],,"Попадалась как-то книга про спортсмена который пробовал разные неэффективные, странные и глупые программы для занятий спортом. Последовательно были описаны тренировки и нулевой результат, который они давили. Написано с юмором. Название выветрилось."
He3Hauka,Books&Literature, 19 октября 2014 г. 08:07   [нажмите здесь чтобы увидеть текст поста],"Несчастного итальянца снова затошнило. Этого оказалось достаточно, чтобы общее нервное напряжение, державшее последние несколько часов самых разных людей в состоянии, близком к срыву, наконец получило выход.— Да прекрати ты блевать, макаронник вонючий! — первым взорвался американец.— Оставь его в покое! — угрожающе произнес англичанин. — Ему плохо...— Когда этот ублюдок воевал против нас — ему было хорошо?! А теперь ему плохо?!— Что он сказал? Что он сказал? — тревожно поднял голову от стола француз.— Переводить? — деловито спросил старик Дмоховский у Васильевой.— Переводите, — спокойно приказала Васильева. — Между союзниками не должно быть никакой недоговоренности.Старик Дмоховекий перевел французу все, что прокричал американец. Француз рванулся со стола и закричал на весь дом:— Ты много воевал против Гитлера?! Где ты был, сукин сын, еще год тому назад? Где ты был в сорок втором, в сорок третьем?!","Пимычцитата Несчастного итальянца снова затошнило. Этого оказалось достаточно, чтобы общее нервное напряжение, державшее последние несколько часов самых разных людей в состоянии, близком к срыву, наконец получило выход.— Да прекрати ты блевать, макаронник вонючий! — первым взорвался американец.— Оставь его в покое! — угрожающе произнес англичанин. — Ему плохо...— Когда этот ублюдок воевал против нас — ему было хорошо?! А теперь ему плохо?!— Что он сказал? Что он сказал? — тревожно поднял голову от стола француз.— Переводить? — деловито спросил старик Дмоховский у Васильевой.— Переводите, — спокойно приказала Васильева. — Между союзниками не должно быть никакой недоговоренности.Старик Дмоховекий перевел французу все, что прокричал американец. Француз рванулся со стола и закричал на весь дом:— Ты много воевал против Гитлера?! Где ты был, сукин сын, еще год тому назад? Где ты был в сорок втором, в сорок третьем?!Владимир Кунин: Привал"
Пимыч,Books&Literature, 19 октября 2014 г. 22:44   [нажмите здесь чтобы увидеть текст поста],,"He3Hauka , спасибо огромное! Это оно!"
Sprinsky,Books&Literature, 10 ноября 2014 г. 17:59   [нажмите здесь чтобы увидеть текст поста],,"Вопрос относительно простой — скорее всего какая-то повесть Паустовского из 8-томного собрания 1967 года. По крайней мере, кажется, что читал именно в этом издании — но вот какой именно том, увы, не помню. В памяти осталась глава про ловлю крупных осетровых рыб в море, кажется так и называлась — ""Белуга"". С описанием поимки этой самой белуги весьма впечатляющих размеров и прочий рыбацкий быт. Повесть (глава) отсутствует в более раннем 6-томнике 1958 года....Хотя это может быть вовсе и не Паустовский, а совсем даже Куприн. Последнее маловероятно, но все же..."
Avex,Books&Literature, 10 ноября 2014 г. 18:08   [нажмите здесь чтобы увидеть текст поста],,"SprinskyАлександр Куприн ""Листригоны""http://fantlab.ru/work146001"
Bizon,Books&Literature, 20 ноября 2014 г. 03:18   [нажмите здесь чтобы увидеть текст поста],,"Вадимыч Офигеть! я уж и не верил, что кто-то подскажет! Понятно почему название и автора не мог вспомнить, хотя сама книга одна из лучших прочитанных о времени войны испанцев с ацтеками. Да, это ""Куаутемок, последний властитель Царства ацтеков"" автор Гертрудис Гомес де Авельянедаавтор, как оказалось, кубинец!несложно понять почему было не вспомнить ни автора, ни названия "
Вадимыч,Books&Literature, 20 ноября 2014 г. 07:55   [нажмите здесь чтобы увидеть текст поста],,"Bizon , рад был помочь.Да, а переплет у книги — ткань (штапель)."
rodovik77,Books&Literature, 20 ноября 2014 г. 11:50   [нажмите здесь чтобы увидеть текст поста],,"Добрый день! Помогите вспомнить книгу или автора. Постапокалиптика, инопланетяне установили по всей планете колонны которые высасывают воду. А по пустыне люди ездят на кораблях с колесами"
andrew_b,Books&Literature, 20 ноября 2014 г. 13:18   [нажмите здесь чтобы увидеть текст поста],А по пустыне люди ездят на кораблях8-] с колесами,"цитата rodovik77А по пустыне люди ездят на кораблях8-] с колесамиПро инопланетян не знаю, а на кораблях с колёсами по пустыне ездят в ""Разбойничьей злой луне"" Лукина."
rodovik77,Books&Literature, 20 ноября 2014 г. 13:29   [нажмите здесь чтобы увидеть текст поста],,"Точно!!! Вспомнил! Там не было кораблей на колесах, там были гигантские машины))). Главный герой был перевозчиком, а в друзьях у него был какой то безумный викинг. Еще на машине этой было домашнее животное вроде варана"
rodovik77,Books&Literature, 20 ноября 2014 г. 13:33   [нажмите здесь чтобы увидеть текст поста],,Под конец книги они взорвали эти колонны и получили воду
Вадимыч,Books&Literature, 25 ноября 2014 г. 18:22   [нажмите здесь чтобы увидеть текст поста],"Tangier , ссылка на сторонний ресурс — нарушение. На пиратский — двойное.Если есть желание сделать кому-то добро — плизз, для этого есть личка.","сообщение модератора Tangier , ссылка на сторонний ресурс — нарушение. На пиратский — двойное.Если есть желание сделать кому-то добро — плизз, для этого есть личка."
serv160,Books&Literature, 25 ноября 2014 г. 19:10   [нажмите здесь чтобы увидеть текст поста],,"Читал в 90е. Роман. Автор , думалось , Афанасьев. Но поиск по этой фамилии результата не дал. ГГ талантливый врач. Судьба сводит с (медсестрой?) у которой ""сексуально-эротический"" талант (дар?). Написано интересно. Язык ""классический"". Очень бы хотелось перечитать-но что и кто это?"
montu,Books&Literature, 29 ноября 2014 г. 17:11   [нажмите здесь чтобы увидеть текст поста],,"может кто то помнит книгу формат не очень большой про город кажется козельск там мальчик вроде, монголы напали , что то вроде этого помню обложка рисунок ворота крепости русской. вроде издания 1960 до 1974 точно ииздания."
тессилуч,Books&Literature, 29 ноября 2014 г. 17:20   [нажмите здесь чтобы увидеть текст поста],,"montu Может ""Стрелы над крепостью"""
montu,Books&Literature, 29 ноября 2014 г. 17:26   [нажмите здесь чтобы увидеть текст поста],,"нет, там жизнь этого города описывается, мальчишки вроде через подземный или потаенный ход лазаюта тут татары"
Пимыч,Books&Literature, 29 ноября 2014 г. 20:48   [нажмите здесь чтобы увидеть текст поста],,"montuМожет быть ""Щит земли русской"", автор Владимир Буртовой?Или ""Русский щит"" В.Каргалова?"
NK,Books&Literature, 6 декабря 2014 г. 14:21   [нажмите здесь чтобы увидеть текст поста],,"Всем здравствуйте! Товарищи, нужна помощь. Ищу книгу (точнее, издание) для очень хорошего человека. Автор книги и имя главного героя известны — это Шманкевич А.П, герой — Вовка Клюев. Хочется найти именно то издание (это важно, по себе знаю, что самая большая радость именно от ""той самой книжки"").  Известно, что книга издана не позднее 1961 года (куплена в 1958-1961). Тонкий переплет (это точно). На обложке Вовка в зеленой фуражке. Мне кажется, это может быть сборник... Я искала в интернет-букинистическом магазине, там несколько книг этого автора, но фото обложек нет. Помогите, может, кто видел или помнит такую."
serv160,Books&Literature, 6 декабря 2014 г. 14:58   [нажмите здесь чтобы увидеть текст поста],,NK Может чуть позже 61го? В нэте только издание 67го.
serv160,Books&Literature, 6 декабря 2014 г. 15:03   [нажмите здесь чтобы увидеть текст поста],,"NK  А ""Вовка в фуражке"" есть (не на обложке..."
NK,Books&Literature, 6 декабря 2014 г. 15:40   [нажмите здесь чтобы увидеть текст поста],,"serv160, спасибо за отклик! Я тоже подумала, что Вовка в фуражке мог быть внутри книги, а не на обложке (лет прошло много, можно подзабыть). Посмотрела форзац, отправлю тому человеку на опознание, если узнает, это может дать фамилию художника-оформителя. Но книга с такой обложкой издавалась  только в твердом переплете — это не подходит. Тот человек точно помнит, что обложка была тонкая (куплено за пять копеек)."
NK,Books&Literature, 6 декабря 2014 г. 15:47   [нажмите здесь чтобы увидеть текст поста],,"То есть:1. Книга тоненькая, в мягкой обложке.2. Издана не позднее 1961 г.3. Книга про Вовку Клюева, но возможно, это сборник рассказов разных авторов, в который вошел рассказ про Вовку.4. На обложке или внутри есть рисунок ВК в фуражке.Понимаю, что это такие заморочки, но хочется найти (это будет большая радость для человека).Помогите "
Петрович 51,Books&Literature, 6 декабря 2014 г. 16:27   [нажмите здесь чтобы увидеть текст поста],,"NK , может быть — эта книга?или — вот эта?"
ЯэтоЯ,Books&Literature, 13 декабря 2014 г. 17:53   [нажмите здесь чтобы увидеть текст поста],,"ГвардеецЛюбопытно.Вытащил сборник Болдхида — там этот рассказ называется не Коронация, а Селекция. Но сборник 80-го года — позже, нежели чем рассказ печатался у нас."
Malo,Books&Literature, 26 декабря 2014 г. 19:42   [нажмите здесь чтобы увидеть текст поста],Только это не Смена — а Вокруг света где-то в 70-х.,"цитата ЯэтоЯТолько это не Смена — а Вокруг света где-то в 70-х.Я читал «Коронацию» в   тоненькой черно-белой книжечке с бумажной обложкой, купленной в привокзальном киоске. Скоротала мне вечер в поезде.Смотри-ка, на фантлабе даже она есть. Скоро надо будет памятник ставить фантлабу за библиографию."
Цао Цао,Books&Literature, 27 декабря 2014 г. 21:14   [нажмите здесь чтобы увидеть текст поста],,"помогите вспомнить, пожалуйста, название книги и автора.большой исторический роман про Василия Темного, феодальную смуту Шемяки, затем про Ивана 3-го, про ересь жидовствующих, Аристотеля Фиорованти."
He3Hauka,Books&Literature, 27 декабря 2014 г. 23:27   [нажмите здесь чтобы увидеть текст поста],,"Цао ЦаоЧто-то из серии ""Рука Москвы""? Роберта Святополк-Мирского.В частности, Аристотель Фьорованти встречается в ""Поясе Богородицы"""
Цао Цао,Books&Literature, 27 декабря 2014 г. 23:54   [нажмите здесь чтобы увидеть текст поста],,"He3Haukaне, все-таки не этот автор. спасибо за рекомендации, но не его я читал."
SAG,Books&Literature, 28 декабря 2014 г. 00:10   [нажмите здесь чтобы увидеть текст поста],,"Алексеев Ю.Г. Государь всея Руси. Новосибирск, 1991"
adgolov,Books&Literature, 8 января 2015 г. 21:19   [нажмите здесь чтобы увидеть текст поста],"Помогите, пожалуйста, вспомнить название исторического рассказа(повести). Печатался он, в своё время, в том числе и в маленьком журнальчике, годах так в 80-тых(?), не помню названия журнала, но форматом этот журнальчик, был схож с журналом ""Человек и закон""(?). Намного позже выхода в свет этого журнальчика, он был выужен мной из школьных запасов макулатуры.Одно из русских княжеств, здесь варяги(викинги), их корабли на берегу, они не враги князю, но и не друзья, замышляют недоброе. Князь не доверяет гостям, его дружина наготове. Что ещё помню из сюжета, так это то, что происходит поединок, на суде, одну из сторон защищает один из варягов, огромный сильный воин, напротив него один из дружинников князя, опытный боец, среднего роста и среднего телосложения.","цитата adgolovПомогите, пожалуйста, вспомнить название исторического рассказа(повести). Печатался он, в своё время, в том числе и в маленьком журнальчике, годах так в 80-тых(?), не помню названия журнала, но форматом этот журнальчик, был схож с журналом ""Человек и закон""(?). Намного позже выхода в свет этого журнальчика, он был выужен мной из школьных запасов макулатуры.Одно из русских княжеств, здесь варяги(викинги), их корабли на берегу, они не враги князю, но и не друзья, замышляют недоброе. Князь не доверяет гостям, его дружина наготове. Что ещё помню из сюжета, так это то, что происходит поединок, на суде, одну из сторон защищает один из варягов, огромный сильный воин, напротив него один из дружинников князя, опытный боец, среднего роста и среднего телосложения.Нашёл! Причём здесь, на сайте. «Искатель» № 3, май-июнь 1982    Андрей Серба Никакому ворогу..."
странник27,Books&Literature, 19 января 2015 г. 23:50   [нажмите здесь чтобы увидеть текст поста],,"времена артуровской Британии. во время решающей битвы молодой римлян во главе отряда своих соплеменников сражался на стороне Артура и типа погибли обе армии. и тогда он понимает что Британия обречена и решает плыть на запад к мифическим землям. к ним присоединяется мерлин и они на корабле с гребцами-рабами саксами плывут вперед. рабы устраивают пожар на корабле чтобы погибнуть вместе с ненавистными римлянами, но пожар успевают потушить. Недалеко от берегов Америки корабль гибнет в шторм, саксы временно теряются, а римляне попадают в плен к майя. После серии пленений, побегов и приключений глава римлян прибивается к горному племени, обучает его и в итоге сокрушает империю майя, а сам становится главой новой империи. Во второй части он посылает сына на Восток с посланием в Рим. Но галера с сыном оказывается у острова, где всех убивают страшные чудовища. Сын спасается, дрейфует на корабле, но его подбирает некий корабль древней технической цивилизацией. Там есть девушка последний потомок атлантов и они должны уничтожить некую империю, которая живет на дне моря и защищена от волн силовым щитом."
Славич,Books&Literature, 19 января 2015 г. 23:59   [нажмите здесь чтобы увидеть текст поста],времена артуровской Британии. во время решающей битвы молодой римлян во главе отряда своих соплеменников сражался на стороне Артура и типа погибли обе армии. и тогда он понимает что Британия обречена и решает плыть на запад к мифическим землям. к ним присоединяется мерлин,"цитата странник27времена артуровской Британии. во время решающей битвы молодой римлян во главе отряда своих соплеменников сражался на стороне Артура и типа погибли обе армии. и тогда он понимает что Британия обречена и решает плыть на запад к мифическим землям. к ним присоединяется мерлинУорнер Мунн ""Кольцо Мерлина""скрытый текст (кликните по нему, чтобы увидеть)На клавиатуре Shift не работает? И да, это самая настоящая фантастика."
странник27,Books&Literature, 20 января 2015 г. 15:29   [нажмите здесь чтобы увидеть текст поста],"Уорнер Мунн ""Кольцо Мерлина""","цитата СлавичУорнер Мунн ""Кольцо Мерлина""огромное спасибо.цитата Славичскрытый текст (кликните по нему, чтобы увидеть)залипает клавиша часто."
Славич,Books&Literature, 20 января 2015 г. 15:34   [нажмите здесь чтобы увидеть текст поста],залипает клавиша часто.,странник27Всегда пожалуйста.цитата странник27залипает клавиша часто. Так и подумал. Но понять текст с первого прочтения было сложно.
странник27,Books&Literature, 21 января 2015 г. 13:31   [нажмите здесь чтобы увидеть текст поста],,В каких произведениях фигурировали производные от числа 3 священные числа типа 3 в кубе — 27?
Лунатица,Books&Literature, 8 марта 2015 г. 16:30   [нажмите здесь чтобы увидеть текст поста],,"Дядюшка внезапно озадачил просьбой найти автора и название книжки, которую он лет тридцать-сорок назад сдал в букинистический, и ее неожиданно охотно взяли и прилично оценили.    Название, как ему кажется, ""Мне 20 лет"" или ""Мне 19 лет"". Автор может начинаться на ""з"" (но не факт). Не имеет связи с одноименным фильмом Хуциева. Сюжет — что-то про революцию и последующую жизнь и становление главного героя в советское время. Издание, возможно, довоенное, но тоже не факт. Вроде бы там фигурировала жизнь в коммуналке. А также ему вспомнился эпизод, когда женщине на Дворцовой площади Питера пронзают грудь штыком.    По заглавию не нагуглилось и не нашлось в электронном каталоге Ленинки."
Пимыч,Books&Literature, 8 марта 2015 г. 18:15   [нажмите здесь чтобы увидеть текст поста],,"ЛунатицаВозможно, совсем не то, но, вдруг!?! Иду от цифр. Может быть ""Восемнадцатилетние"" Юрия Смолича? Там, вообще-то, трилогия -- ""Детство"", ""Наши тайны"", ""Восемнадцатилетние""."
Лунатица,Books&Literature, 8 марта 2015 г. 18:36   [нажмите здесь чтобы увидеть текст поста],,"Пимыч , спасибо за быстрый ответ. Спрошу. Текста навскидку не нашлось, так что сама проверить не могу."
ЯэтоЯ,Books&Literature, 8 марта 2015 г. 19:15   [нажмите здесь чтобы увидеть текст поста],"Может быть ""Восемнадцатилетние"" Юрия Смолича?","Пимыч,Лунатица цитата ПимычМожет быть ""Восемнадцатилетние"" Юрия Смолича?Вряд ли. Смолич — украинский писптель — в т.ч. и фантастики. Я, правда, ничего его не читал — но ежли б он уже писал на эту тему — то и писал бы по украинским событиям."
Лунатица,Books&Literature, 8 марта 2015 г. 19:37   [нажмите здесь чтобы увидеть текст поста],ежли б он уже писал на эту тему — то и писал бы по украинским событиям.,"цитата ЯэтоЯежли б он уже писал на эту тему — то и писал бы по украинским событиям.Да кто его знает, какие там описаны события. Я спрашиваю с чужих слов, а дядя сам помнит смутно, только общую тему и пару невнятных деталей. Фамилия ""Смолич"" его не устроила, он продолжает думать, что фамилия начинается на ""з"".   Но я по опытам поисков полузабытых книг давно поняла, что воспоминания иногда искажают картину очень причудливо, вплоть до слияния нескольких произведений в один образ."
ЯэтоЯ,Books&Literature, 8 марта 2015 г. 19:58   [нажмите здесь чтобы увидеть текст поста],,"Такой вопрос:Крутится у меня в голове некоторое время такая фраза из детства:- Тележка скрипела кривли-кривли-кривли.Ну или криули-криули-криули...А может скрипела и не тележка — а колёса тележки...Это была у меня в детстве пластинка со сказкой — и были в ней такие слова.Читал, по-моему, Литвинов, который Николай Владимирович и он же Радиоволшебник из Радионяни.При попытках вспомнить — всплыло у меня Заяц Барсино — т.е. скорее всего это была его тележка, но с другой стороны — я не уверен, что Заяц Барсино имеет отношение к этой тележке — вполне возможно, что это была и другая сказка — с другой стороны пластинки...Гугл мне на Заяц Барсино — не выдал ничего..."
