en,ru
Uh-huh.,Угу.
"And, so, the whole page you, you never can actually see it,","И, таким образом, всю страницу вы, вы никогда не сможете увидеть на самом деле,"
Oh.,Ой.
you just draw it,ты просто рисуешь это
and they have to zoom out and zoom in,и они должны уменьшать и увеличивать масштаб
"and, you know, it's like, every time that you have to do something is, it's really a pain.","и, знаете, это похоже на то, что каждый раз, когда вам приходится что-то делать, это действительно больно."
"What a hassle,","Какая морока,"
"yeah,","да,"
yeah.,да.
"And, also, you know, it's like for, for presentations,","И, кроме того, вы знаете, это как бы для презентаций,"
"it's like if you have to do any statistical data it can be easily represented on a, on a P C.","это похоже на то, что если вам нужно собрать какие-либо статистические данные, их можно легко представить на a, на P C."
Uh-huh.,Угу.
"it can be easily represented on a, on a P C.","это может быть легко представлено на a, на P C."
"You know, like years back when you didn't have that you would have to map out all this, all these numbers.","Знаете, как много лет назад, когда у вас этого не было, вам пришлось бы составлять все это на карте, все эти цифры."
Yeah.,Да.
"and get a graph which you weren't sure if it was okay or not, you know.","и получите график, в котором вы не были уверены, хорошо это или нет, вы знаете."
Right.,Верно.
Yeah.,Да.
"But, with a, with a new system I can calculate everything so fast, you know, like for spread sheets.","Но с... с новой системой я могу все рассчитать так быстро, знаете, как для электронных таблиц."
Uh-huh.,Угу.
Right.,Верно.
Right.,Верно.
You can see what the trend is over the years.,"Вы можете видеть, какова тенденция на протяжении многих лет."
Yeah.,Да.
"And, I love all the windows that they have out now too,","И мне тоже нравятся все окна, которые у них сейчас открыты,"
"Yeah,","Да,"
"that, that","это, это"
they have really simplified things.,они действительно все упростили.
"I, I had a, I had a program due","У меня, у меня была, у меня была программа из-за"
"and uh, one, one window I had the program","и э-э, в одном-единственном окне у меня была программа"
"and the other one I had the program running. so if there was ever a mistake, I could easily check, you know,","а на другом у меня была запущена программа. так что, если бы когда-нибудь произошла ошибка, я мог бы легко проверить, вы знаете,"
Right.,Верно.
Right.,Верно.
"I could look at the program and say, this is where I made the error.",Я мог бы посмотреть на программу и сказать: вот где я допустил ошибку.
Right.,Верно.
"Instead of saying, where did I make the error?","Вместо того, чтобы сказать, где я допустил ошибку?"
Uh-huh.,Угу.
"You know, go back and forth","Ты знаешь, ходи туда-сюда"
"and, and, you know, you always, you know,","и, и, ты знаешь, ты всегда, ты знаешь,"
"the old ones you had to go out of your program, load up, um, uh, well load up the program again, in this case.","старые, которые вам пришлось удалить из вашей программы, загрузить, эм, эм, ну, в данном случае загрузите программу снова."
Uh-huh.,Угу.
"After you load it up change it, hope that's right, get out of that, run the program, run, uh-huh, as long as it took, and then go back and see if that worked or not.","После того, как вы загрузите его, измените его, надеюсь, что это правильно, выйдите из этого, запустите программу, запускайте, ага, столько, сколько потребовалось, а затем вернитесь и посмотрите, сработало это или нет."
Yes.,Да.
Yes.,Да.
Yeah.,Да.
But with windows you can have the program,Но с Windows у вас может быть программа
and say it messed up in line fifty-four.,"и скажи, что это напортачило в пятьдесят четвертой строке."
Yeah.,Да.
"So, you take a look at line fifty-four,","Итак, вы взгляните на пятьдесят четвертую строку,"
"you take a look at the output at the same time,","вы одновременно просматриваете выходные данные,"
"and you can see that, where it messed up, because, you know it's like in the old computers, the ones that, uh, we're using here a couple of years ago, you would always have to have a printout,","и вы можете видеть, где это испортилось, потому что, вы знаете, это как в старых компьютерах, тех, которыми мы здесь пользуемся пару лет назад, у вас всегда должна была быть распечатка,"
Uh-huh.,Угу.
Yeah.,Да.
"Yeah,","Да,"
"right,","право,"
right.,верно.
"Yeah,","Да,"
"I know, I, uh, I remember my college days And having to do that too.","Я знаю, я, э-э, я помню свои студенческие годы и то, что мне тоже приходилось это делать."
"did, did you learn it in computer science?",ты изучал это на уроках информатики?
"Oh, yeah,","О, да,"
uh-huh.,угу.
I sure did.,"Я уверен, что сделал это."
"And, when was this.","И, когда это было."
"Uh, I graduated in eighty-six.","Э-э, я окончил школу в восемьдесят шестом."
"Oh, okay.","О, ладно."
Yeah.,Да.
So it's been fairly recent.,Так что это было довольно недавно.
"Yeah,","Да,"
"I know because, uh, all I know is that when I came here in eighty-seven, they still had, uh, it was the last year to, to put all your punch cards in.","Я знаю, потому что, э-э, все, что я знаю, это то, что когда я приехал сюда в восемьдесят седьмом, у них все еще был, э-э, это был последний год, чтобы вставить все ваши перфокарты."
The cards.,Карты.
"Oh, oh dear.","О, о боже."
"I didn't have to bother with that at all, thank goodness.","Слава богу, мне вообще не пришлось об этом беспокоиться."
Yeah.,Да.
"So, yeah.","Так что, да."
"No,","Нет,"
"but it, it was just sensational because I walked in","но это, это было просто сенсационно, потому что я вошел"
"and they go, Oh, my God, they're still using this.","и они говорят: ""О, боже мой, они все еще используют это""."
Yes.,Да.
"It was like, this is the last year you can put your punch cards in and get your program out","Это было похоже на то, что это последний год, когда ты можешь вставить свои перфокарты и выпустить свою программу"
"and, you know You can get a hard copy of it,","и вы знаете, что можете получить его печатную копию,"
"Wow,","Вау,"
wow.,вау.
and that's about it.,и это примерно все.
"Uh-huh,","Ага,"
wow.,вау.
"So. But, I mean, the price of computers has gone down.","Так. Но, я имею в виду, цены на компьютеры упали."
"They said that, um, if the auto industry would have kept the same trend as the computer industry has ever since, you know, it started, they said that, uh, cars would cost two dollars","Они сказали, что, эм, если бы автомобильная промышленность сохраняла ту же тенденцию, что и компьютерная индустрия с тех пор, как, вы знаете, она началась, они сказали, что, эм, автомобили стоили бы два доллара"
Uh-huh.,Угу.
and they would run forever.,и они будут бежать вечно.
"Oh, that would be great.","О, это было бы здорово."
"So, I mean it's like, you know, the, the joke with the Yugo, you know,","Так что, я имею в виду, это как, знаете, шутка с Юго, понимаете,"
"it's like, yeah, you know, like when your, uh, car runs out of gas just throw it away.","это как, да, ты знаешь, как когда в твоей машине заканчивается бензин, просто выброси ее."
Uh-huh.,Угу.
"And, that, that's the way it would be.","И это, именно так все и было бы."
Wow.,Вау.
"It's like yeah, I think I'll buy a new car today, you know,","Это как да, я думаю, что сегодня куплю новую машину, понимаешь,"
"so,","так,"
"Yeah,","Да,"
but I mean the price has really gone down.,"но я имею в виду, что цена действительно упала."
"I mean, I B M which, uh,","Я имею в виду, я Б М, который, э-э,"
"an I B M P C in like in nineteen eighty-one it would cost you five thousand dollars,","и Б М П К, как в тысяча девятьсот восемьдесят первом, это обошлось бы вам в пять тысяч долларов,"
"Oh, sure,","О, конечно,"
"oh, sure.","о, конечно."
"and now you can get it, you know, like for, one thousand dollars, because, you know, because of the parts basically.","и теперь вы можете приобрести его, знаете, примерно за тысячу долларов, потому что, знаете, в основном из-за запчастей."
Right.,Верно.
"Yeah,","Да,"
"and the two eighty-six too,","и два восемьдесят шесть тоже,"
"so, yeah.","так что, да."
Yeah.,Да.
"The parts and the labor is what they're charging you,","Запчасти и рабочая сила - это то, что они берут с вас,"
"they're not charging you, you know, over pricing, it because it's like, if we sell it for less, you know, it's like we're losing money, you know.","они не взимают с вас, знаете ли, завышенную цену, это потому, что, если мы продадим это дешевле, вы знаете, это будет похоже на то, что мы теряем деньги, вы знаете."
Uh-huh.,Угу.
Right.,Верно.
It's like we want to sell it to break even at least.,"Как будто мы хотим продать его, по крайней мере, безубыточно."
Uh-huh.,Угу.
"And, I think they stopped producing the I B M P C.","И, я думаю, они прекратили выпускать I B M P C."
Uh-huh.,Угу.
"And, uh, and the, uh, P C Junior was a total failure, to them.","И, э-э, и, э-э, Пи Си Джуниор был для них полным провалом."
Oh.,Ой.
Yeah.,Да.
"They had, uh,","У них был, э-э,"
"they're trying to get out small computers,","они пытаются выпустить маленькие компьютеры,"
"but, the only problem was that when they took that one out, the small computer was the I B M P C","но единственная проблема заключалась в том, что, когда они извлекли его, маленький компьютер был I B M P C"
"And, so, you couldn't, you know,","И, значит, ты не мог, ты знаешь,"
"it's like, sure bring out. into the market something that's smaller when nobody uses anything that's smaller than, you know, this, you know.","это как бы, конечно, выводит из себя. вывести на рынок что-то меньшее, когда никто не использует что-то меньшее, чем, ну, вы знаете, это, вы знаете."
Yeah.,Да.
"And, so.","И, итак."
Oh. Uh-huh.,Ой. Угу.
"But, over the past years it's like I B M has been producing like","Но за последние годы, похоже, I B M выпускала что-то вроде"
"every two years they bring out a whole new system. You know, like the P C X T, A T, and the P S one, P S two things, you know,","каждые два года они внедряют совершенно новую систему. Вы знаете, как P C X T, A T и P S одна, P S две вещи, вы знаете,"
and so. It's just that you have to always compete,и так далее. Просто ты всегда должен соревноваться
"and, uh, Mackintosh took a lot of the market from a lot of schools.","и, э-э, Макинтош занял большую часть рынка у многих школ."
Yeah.,Да.
"Because of, of their, you know,","Из-за, из-за их, ты знаешь,"
you can work with it a lot easier.,вы можете работать с ним намного проще.
Yeah.,Да.
That's true.,Это правда.
"So, that's what they're trying to do.","Итак, это то, что они пытаются сделать."
"Oh, well, I'll leave you back to your work.","О, хорошо, я оставлю тебя, возвращайся к своей работе."
Well.,Хорошо.
Okay.,Хорошо.
"And, uh, have a good lunch.","И, э-э, хорошего ланча."
Thanks.,Спасибо.
Bye.,Пока.
"All right,","В порядке,"
"bye, bye.","пока, пока."
All right.,Все в порядке.
"Now, we used to be big time campers","Так вот, раньше мы были большими туристами"
