en,ru
we went like twenty or thirty at a time.,нас было человек двадцать или тридцать за раз.
"We took, uh, just our little tents,","Мы взяли, э-э, только наши маленькие палатки,"
Uh-huh.,Угу.
and we did it that way.,и мы сделали это таким образом.
"Then when we started having children we bought a camper. You know,","Потом, когда у нас появились дети, мы купили автофургон. Ты знаешь,"
"Oh, uh-huh.","О, угу."
and we did it that way.,и мы сделали это таким образом.
"Oh, how neat.","О, как аккуратно."
"So, we've always enjoyed camping.","Итак, нам всегда нравилось ходить в походы."
Uh-huh.,Угу.
"Well, I know I have, um, I just have a tent,","Ну, я знаю, что у меня есть, эм, у меня просто есть палатка,"
and the kids and I like to go out and camp in the tent.,и нам с детьми нравится выходить на улицу и разбивать лагерь в палатке.
Uh-huh.,Угу.
And then I bought a van,А потом я купил фургон
and that way I can sleep in the van and be more comfortable,и таким образом я смогу спать в фургоне и чувствовать себя более комфортно
yes.,да.
"Now we have friends with a van,","Теперь у нас есть друзья с фургоном,"
Uh-huh.,Угу.
"and when they go on vacation a lot of times they'll just sleep in the van, you know.","и когда они часто уезжают в отпуск, они просто спят в фургоне, ты же знаешь."
Right.,Верно.
Yeah.,Да.
Like one night,Как одна ночь
"and the next night they'll stay at the motel, you know, or something like that.","и на следующую ночь они остановятся в мотеле, ну, вы знаете, или что-то в этом роде."
Uh-huh.,Угу.
And they enjoy it.,И им это нравится.
"Yes,","Да,"
"I don't, I don't think I'm a real true, trooper, you know, when it comes, to camping.","Я не, я не думаю, что я настоящий солдат, знаете ли, когда дело доходит до кемпинга."
"Oh,","О,"
yeah.,да.
"Oh, me either.","О, я тоже."
All the bugs and stuff,Все эти жучки и прочее
"But I, I try","Но я, я стараюсь"
I hate to be on all that stuff,Я ненавижу участвовать во всем этом
"But, but I try, you know, to, uh, to get out there and enjoy everything.","Но, но я стараюсь, вы знаете, э-э-э, выходить на улицу и наслаждаться всем."
"Oh, yeah.","О, да."
But what was so fun though is that I had to take my son to the doctor this morning because he went out camping with some friends,"Но что было так весело, так это то, что сегодня утром мне пришлось отвезти своего сына к врачу, потому что он отправился в поход с друзьями"
"and he got poison ivy,","и у него появился ядовитый плющ,"
Oh.,Ой.
and it's all over him.,и это все из-за него.
"The poor thing, you know,","Бедняжка, ты же знаешь,"
