en,ru
it happened at such and such time,это произошло в такое-то время
"And that's so, that, that's different for me.","И это так, это, это по-другому для меня."
So I usually find out exactly when it happens and that kind of thing.,"Так что я обычно точно узнаю, когда это происходит, и тому подобное."
"Is that the aspect of the news that you're most interested in is, is the timely noting of the events as they happen?","Это тот аспект новостей, который вас больше всего интересует, - это своевременное освещение событий по мере их возникновения?"
Is that what you feel good about in the news coverage?,"Это то, что вас радует в новостях?"
"Uh, no","Эм, нет"
"it just seems like since I've recently stayed home, that is what's happened, you know.","просто кажется, что с тех пор, как я недавно остался дома, именно это и произошло, ты знаешь."
"It's just that, uh, now that I've stayed home, I'm, I'm usually aware of when these things occurred","Просто, э-э, теперь, когда я остался дома, я, я обычно осознаю, когда произошли эти вещи"
Uh-huh.,Угу.
and it happened,и это произошло
"and,","и,"
"Well, I, myself, uh, the reason why I listen to N P R and the reason why I watch MACNEIL LEHRER, rather than the, than the network news shows at night, although I do watch a local ten o'clock in the evening news which carries over a lot of the national news stories uh, is that quite often it seems to me the national doesn't do a very good job of analysis.","Ну, я сам, э-э, причина, по которой я слушаю N P R и причина, по которой я смотрю MACNEIL LEHRER, а не сетевые новостные шоу по ночам, хотя я смотрю местные десятичасовые вечерние новости, которые передают большую часть национальных новостей. истории, э-э, в том, что довольно часто мне кажется, что national не очень хорошо проводит анализ."
"Right,","Правильно,"
right.,верно.
The local doesn't either,Местный житель тоже этого не делает
"but I feel that MACNEIL LEHRER get a little more deeply into some, some of the issues that are really current.","но я чувствую, что МАКНИЛ ЛЕРЕР немного глубже вникает в некоторые, некоторые из действительно актуальных проблем."
Uh-huh,Ага
And perhaps newspapers do that,"И, возможно, газеты делают это"
"but as I said, I don't have time to sit down and read a newspaper","но, как я уже сказал, у меня нет времени сидеть и читать газету"
and frankly when I have read a newspaper I haven't noticed that kind of analysis either.,"и, честно говоря, когда я читал газету, я тоже не замечал такого рода анализа."
Uh-huh.,Угу.
Huh.,Хм.
"So. Uh, there's, there is some danger to that, of course, too.","Так. Э-э, в этом, конечно, тоже есть некоторая опасность."
"Because if the analysis is inaccurate or biased or whatever then, you know, how good is it.","Потому что, если анализ неточный, предвзятый или что-то еще, тогда вы знаете, насколько он хорош."
"But, uh, I like a little more indepth coverage","Но, э-э, мне нравится немного более глубокий охват"
"and I think that's what you're, maybe appealing to you too on something like TWENTY TWENTY or FORTY-EIGHT HOURS.","и я думаю, что это то, к чему вы стремитесь, возможно, к вам это тоже апеллирует где-то через ДВАДЦАТЬ ДВАДЦАТЬ или СОРОК ВОСЕМЬ ЧАСОВ."
Right.,Верно.
Right.,Верно.
It kind of gives you the whole story or more of the story.,Это как бы рассказывает вам всю историю или даже больше.
Uh-huh.,Угу.
That kind of thing.,Что-то в этом роде.
