en,ru
but it almost doesn't look like it's almost livable,"но это почти не похоже на то, что это почти пригодно для жизни"
"yeah,","да,"
the best,лучший
"I, I don't think I could, I, I could handle those tennis balls.","Я, я не думаю, что смогла бы, я, я смогла бы справиться с этими теннисными мячами."
"So, what else to you tape besides AMERICAN at,","Итак, что еще вам нужно, кроме американской ленты в,"
there anything else?,есть что-нибудь еще?
"Hey,","Эй,"
Huh?,А?
see I tape MURDER SHE WROTE.,"видишь, я записываю УБИЙСТВО, КОТОРОЕ ОНА НАПИСАЛА."
Okay.,Хорошо.
I like mysteries.,Я люблю загадки.
"Oh, okay.","О, ладно."
I like mysteries.,Я люблю загадки.
"I tape, um, FATHER DOWLING, because that's another mystery,","Я записываю, эм, отца ДОУЛИНГА, потому что это еще одна загадка,"
Uh-huh.,Угу.
and I don't have to concentrate too hard on them.,и мне не нужно слишком сильно концентрироваться на них.
"But, I'm sure that's fun.","Но я уверен, что это весело."
"Um, most of the lawyer programs like, uh, LAW AND ORDER, they're not on the times that I've got, that I've watched because I haven't had T got, T V GUIDE around here in ages.","Хм, большинство юридических программ, таких как, э-э, ЗАКОН И ПОРЯДОК, они не идут в ""Таймс"", которые у меня есть, которые я смотрел, потому что у меня здесь уже целую вечность не было ПУТЕВОДИТЕЛЯ."
Uh-huh.,Угу.
"Oh, okay,","О, ладно,"
"well, they seem to be on later,","ну, они, кажется, включатся позже,"
Yeah.,Да.
"all,","все,"
"always right, right before the news is when I catch them.","всегда правильно, прямо перед новостями, когда я их ловлю."
"I, I tend to, if nothing else is in the town television at eleven o'clock just to watch the news, and or, or NIGHTLINE or something, just sort of get a good, you know, a good, a good think for the day.","Я, я обычно, если ничего другого нет на городском телевидении в одиннадцать часов, просто смотрю новости, и или, или НОЧНУЮ ЛИНИЮ, или что-то в этом роде, просто как бы хорошенько, знаете, хорошенько, хорошенько подумаю на день."
Your news is on at eleven?,Ваши новости показывают в одиннадцать?
Yes.,Да.
When is yours on?,Когда твой включен?
"Ten,","Десять,"
I was just in the middle of watching it.,Я как раз был в середине просмотра этого фильма.
"Oh, gosh,","О, боже,"
"well, I'm sorry I interrupted, um,","что ж, мне жаль, что я помешал, эм,"
"Oh, that's okay.","О, все в порядке."
"Yeah,","Да,"
"ours is on,","наш находится на,"
No problem.,Без проблем.
"actually it,","на самом деле это,"
ours is on at eleven,наш начинается в одиннадцать
"it, it's, um, eleven o'clock now here or eleven twenty-five now here in New York.","сейчас, эм, одиннадцать часов здесь или одиннадцать двадцать пять сейчас здесь, в Нью-Йорке."
"Um, I think they they do that,","Эм, я думаю, они... они делают это,"
"I think they put things on at, um, eleven o'clock here","Я думаю, они надевают что-то здесь, эм, в одиннадцать часов"
"and I think they put it like eleven o'clock, um, California time, like in California","и я думаю, они говорят об этом примерно в одиннадцать часов по калифорнийскому времени, как в Калифорнии"
"but in the middle they sort of, um,","но в середине они вроде как, эм,"
"like central time or mountain time they, they push things back.","как центральное время или горное время, они отодвигают события назад."
