en,ru
"so you're probably in a, you know,","так что вы, вероятно, находитесь в... ну, вы знаете,"
"Well, they vary, from place to place,","Что ж, они варьируются от места к месту,"
"it's hard to tell, you know, how well they've been kept up how old they are,","знаете, трудно сказать, насколько хорошо они содержались, сколько им лет,"
Uh-huh.,Угу.
"and these are probably, oh, one of the nicest that I found,","и это, наверное, о, одни из самых приятных, которые я нашел,"
"and, uh, they're almost five hundred a month for a one bedroom place.","и, э-э, они платят почти пятьсот в месяц за квартиру с одной спальней."
"Ooh that does get high,","О, это действительно кайфует,"
"yeah,","да,"
"I mean,","Я имею в виду,"
"Yeah,","Да,"
"it does, considering that, you know, uh, house payments are, not a whole lot more than that,","это так, учитывая, что, знаете ли, платежи за жилье составляют не намного больше этого,"
"Yeah,","Да,"
"I was going to say, our mortgage is, is between, depending on,","Я собирался сказать, что наша ипотека находится между, в зависимости от,"
"you know, it drops, um,","ты знаешь, это падает, эм,"
"seems like in the last six months we, um, got lucky","похоже, за последние шесть месяцев нам, эм, повезло"
"and we refinanced,","и мы рефинансировали,"
"and it,","и это,"
"but it was like eight hundred and something,","но это было около восьмисот с чем-то,"
but it went down to like seven hundred and twenty,но он снизился примерно до семисот двадцати
Yeah.,Да.
"so that's really not,","так что это на самом деле не,"
"I have friends that pay about nine hundred dollars for a town house in,","У меня есть друзья, которые платят около девятисот долларов за городской дом в,"
"Wow, that's a lot for a townhouse.","Вау, это многовато для таунхауса."
"yeah,","да,"
"in,","в,"
"actually they're near Plano in North Dallas too,","на самом деле они тоже недалеко от Плано в Северном Далласе,"
"but I couldn't believe it,","но я не мог в это поверить,"
"but, you know,","но, ты знаешь,"
"But that's what happens when you get up in this area, you know, you got all these companies are up here,","Но вот что происходит, когда вы оказываетесь в этой области, вы знаете, у вас есть все эти компании, расположенные здесь,"
and these,и эти
Yeah.,Да.
"and, I guess they know they're going to get it,","и, я думаю, они знают, что получат это,"
"And then I think that, um, nobody was really buying houses there for a long time there because of just,","И потом, я думаю, что, гм, на самом деле там долгое время никто не покупал дома из-за просто,"
"I mean, we've been in ours for about ten years,","Я имею в виду, что мы занимаемся своим уже около десяти лет,"
"but, uh there's no investment in it,","но, э-э, в это нет никаких вложений,"
"you know all it allows you to do is itemize, on your on your taxes yeah,","ты знаешь, все, что это позволяет тебе делать, это перечислять по пунктам твои налоги, да,"
Yeah.,Да.
