en,ru
Uh-huh.,Угу.
Uh-huh.,Угу.
Uh-huh.,Угу.
"Yeah,","Да,"
that sounds great.,это звучит здорово.
"Did, did it have something to mention about, uh, sort of, uh, cultural rituals of, of manhood?","Было ли, было ли в нем что-то, о чем нужно упомянуть, э-э, своего рода, э-э, культурных ритуалах мужественности?"
Yes.,Да.
Okay.,Хорошо.
"Yeah,","Да,"
I have heard of that.,Я слышал об этом.
"I have, uh, someone suggested that I read it.","Мне, э-э, кое-кто предложил это прочитать."
Is it IRON JOHN?,Это ЖЕЛЕЗНЫЙ ДЖОН?
Yes.,Да.
Okay.,Хорошо.
Good.,Хорошо.
"By Bly,","Автор Блай,"
"B L Y, I believe it is.","Черт возьми, я верю, что это так."
B L Y?,Б Л У?
Uh-huh.,Угу.
Okay.,Хорошо.
Great.,Здорово.
"And, uh, it's a very interesting book.","И, э-э, это очень интересная книга."
Uh-huh.,Угу.
"Uh, what are your favorite, uh,","Э-э, какие твои любимые, э-э,"
"do you have a favorite subject to read, whether it be science fiction or, or history","есть ли у вас любимый предмет для чтения, будь то научная фантастика или история"
"or,","или,"
"Well, it depends again if we're talking about uh,","Ну, это опять зависит от того, говорим ли мы об э-э,"
Uh-huh.,Угу.
Uh-huh.,Угу.
"And I read a lot of books in the area of, uh, uh, psychology and self-help type, uh, materials.","И я прочитал много книг в области, э-э, э-э, психологии и материалов типа самопомощи, э-э, материалов."
Okay.,Хорошо.
"Uh, always trying to understand people better and understand myself in relation to other people and try to understand where the people are coming from because I'm in a people business.","Э-э, всегда пытаюсь лучше понимать людей и понимать себя по отношению к другим людям, и пытаюсь понять, откуда берутся люди, потому что я занимаюсь бизнесом с людьми."
Uh-huh.,Угу.
Okay.,Хорошо.
"And, uh, so that, that's,","И, э-э, так что, это,"
my work is my hobby,моя работа - это мое хобби
Uh-huh.,Угу.
That  sounds great,Звучит здорово
"So I, I enjoy it.","Так что я, мне это нравится."
