,speaker,text,code
168021,B,uh-huh.,aa
168022,A,"Yeah,",b
168023,A,"I think that was probably the last movie I've seen, too.",sd
168024,B,Yeah.,b
168025,A,"And, and then I saw that other movie about, uh, MOTHER, MOTHER, WIFE, MURDERER.",sd
168026,A,Did you see that one?,qy
168027,B,"Oh, uh, with, uh, Judith Light?",qy
168028,A,Yeah.,ny
168029,B,"Uh,",b
168030,A,"Did you see that one,",qy
168031,A,"that was, was really good.",sv
168032,A,"That was supposed to be a true story, too.",sd
168033,B,"Yeah,",ny
168034,B,I did see that.,sd
168035,B,"Yeah,",ny
168036,B,I did.,sd
168037,B,"That was on a while ago, wasn't it?",qy
168038,A,Yeah.,ny
168039,B,"Yeah,",ny
168040,B,I saw that.,sd
168041,A,Guess a couple weeks ago or something like that.,sd
168042,B,"Yeah,",aa
168043,B,that was pretty good.,aa
168044,A,"Boy we have we, we see all the same movies.",sv
168045,B,"I,",%
168046,B,Yeah.,aa
168047,B,"I like, uh, the true stories.",sd
168048,A,Yeah.,b
168049,B,They're more interesting.,sv
168050,A,Uh-huh.,b
168051,B,"And it's hard to believe that, you know, this really happened.",sv
168052,A,I know.,aa
168053,B,Some of them are pretty bad.,sv
168054,A,"Yeah,",aa
168055,A,yeah.,aa
168056,B,"But,",%
168057,A,Huh. Well We sure do have a lot in common.,sv
168058,B,Yeah.,b
168059,A,"If you're ever in town, we'll go see a movie",ad
168060,B,Okay,aa
168061,A,"But, and we don't really,",%
168062,A,"do you all have, do you all still have drive-ins up there",qy
168063,A,"or,",%
168064,B,"Yeah,",ny
168065,B,uh-huh.,ny
168066,B,"Yeah,",ny
168067,B,do you have them there?,qy
168068,A,"Um, well, we may have just a couple over here.",na
168069,A,Okay Brian.,"fo_o_fw_""_by_bc"
168070,B,"Hi,",fp
168071,B,how you doing Kevin?,fp
168072,A,"Fine, thanks",fp
168073,B,"Good,",ba
168074,B,"good,",ba
168075,B,glad to hear that.,sd
168076,B,"I understand,",%
168077,A,Are you a total banner?,qy
168078,B,Total banner?,qy
168079,A,Yeah.,ny
168080,B,"No,",nn
168081,B,"I, I believe that, uh, the American public and I, as an individual and private citizen have a right to, to bear arms and to have a gun as long as I, uh, am responsible with it and protect the safety and welfare of my kids",sv
