en,ru
like last weekend was homecoming,как будто прошлые выходные были возвращением домой
and I needed a pair of shoes,и мне нужна была пара туфель
Oh.,Ой.
so I just went out and bought them and on my credit card.,так что я просто пошел и купил их на свою кредитную карту.
Yeah.,Да.
I didn't really have the money to do it,"На самом деле у меня не было денег, чтобы сделать это"
"but,","но,"
"Yeah,","Да,"
it's pretty easy,это довольно просто
Yeah,Да
It sure is.,Это точно так.
So do you just have two kids,"Итак, у вас только двое детей"
"or,","или,"
"Uh, we have a eighteen year old, seventeen year old, and a seven year old.","Э-э, у нас есть восемнадцатилетний, семнадцатилетний и семилетний мальчик."
"Oh, really?","О, правда?"
Yeah.,Да.
Neat.,Аккуратный.
"I'm from Plano, Texas.","Я из Плано, штат Техас."
"Oh, are you?","О, это ты?"
"But right now I'm out in Provo, Utah going to B Y U","Но прямо сейчас я нахожусь в Прово, штат Юта, собираюсь трахнуть тебя"
so,так
"Are you a, you're a Mormon then?","Значит, ты... ты мормон?"
Yep,Да
"Oh, all right","О, хорошо"
"But, this is a extra long one.",Но это очень длинный вопрос.
What's that?,Что это такое?
They're giving us a lot of time,Они дают нам много времени
"Oh, yeah.","О, да."
"They may not, they must not have too much traffic on Saturdays","Они не могут, у них не должно быть слишком большого трафика по субботам"
Yeah.,Да.
Have you done a lot of this?,Вы часто этим занимались?
"Uh, fifteen or twenty I guess.","Э-э, пятнадцать или двадцать, я думаю."
"Oh, really?","О, правда?"
"Oh, yeah.","О, да."
Do you do it every day?,Вы делаете это каждый день?
I try to every day.,Я стараюсь это делать каждый день.
"I, uh, I get calls at work,","Я, э-э, мне звонят на работу,"
"I get calls at home,","Мне звонят домой,"
so.,так.
"Well, uh, and that's an idea that's been around for, kicked around for a long time.","Ну, э-э, и это идея, которая существует уже долгое время."
"I don't know that it's ever been seriously considered, uh, as far as close to passing, uh, any legislation or anything like that.","Я не знаю, рассматривалось ли это когда-либо всерьез, э-э, насколько близко к принятию, э-э, какого-либо законодательства или чего-то подобного."
"But, uh, I believe Israel does that, don't they for their,","Но, э-э, я верю, что Израиль делает это, не так ли, для своего,"
"Uh, yes,","Э-э, да,"
"I think so. Uh,","Я так думаю. Ух,"
"everybody has to do, has to do something.","каждый должен делать, обязан что-то делать."
"Yeah,","Да,"
I don't,Я не
"Or maybe, maybe theirs is, in fact, one year of military service for everyone.","Или, может быть, может быть, на самом деле у них один год военной службы для всех."
"But, uh,","Но, э-э,"
"Yeah,","Да,"
I believe that's right.,"Я верю, что это правильно."
Okay.,Хорошо.
"And, uh, and I don't know that that's really what we're talking about.","И, э-э, и я не уверен, что это действительно то, о чем мы говорим."
"No,","Нет,"
"I don't think it's, it's","Я не думаю, что это, это"
I think of that.,Я думаю об этом.
"It, it couldn't be.","Этого, этого не могло быть."
Military service is not that much,Военная служба - это не так уж много
"but, the, military used to do it",но военные привыкли это делать
"but the idea that, uh, there are things that, that do need to be done that could be done","но идея о том, что, э-э, есть вещи, которые действительно нужно сделать, которые можно было бы сделать"
"and then, uh, country would benefit from one year from, from everybody and even out the, the, uh, requirement.","и тогда, э-э, страна выиграла бы от одного года от всех и уравняла бы, э-э, требования."
"Yeah,","Да,"
"for, for kids in high school, it could be in the summertime.",для детей в старших классах это могло бы быть летом.
"Well, now that's a thought.","Что ж, теперь это мысль."
Yeah.,Да.
"Uh, you know, um, it, it could even be done while they're doing another job, while they're doing, you know, a job to make money.","Э-э, вы знаете, э-э, это, это можно было бы даже сделать, пока они выполняют другую работу, пока они делают, вы знаете, работу, чтобы заработать деньги."
Yeah.,Да.
"But, uh, it's, uh, you know, such a grassroots idea that it,","Но, э-э, это, э-э, вы знаете, такая массовая идея, что это,"
I think the family would have to be involved in it.,"Я думаю, что семья должна была бы быть вовлечена в это."
Uh-huh.,Угу.
"And people would have to be convinced that, you know,","И людей нужно было бы убедить в том, что, вы знаете,"
"I, I think the, the basic message is that giving is better than receiving","Я, я думаю, основное послание заключается в том, что отдавать лучше, чем получать"
"Yeah,","Да,"
right.,верно.
And that's not the kind of society we have right now.,"И это не то общество, которое мы имеем сейчас."
"Oh, yeah,","О, да,"
I'm afraid you're right there.,"Боюсь, здесь вы правы."
"But, uh, but, uh, anything like this that came up whether it,","Но, э-э, но, э-э, что-нибудь подобное, что всплыло, было ли это,"
"it quickly would be significant industry in, in figuring out how to get around it where people,","это быстро стало бы важной отраслью в выяснении того, как обойти это там, где люди,"
There's lots and lots of volunteer programs,Существует множество волонтерских программ
"and, uh, but most of those are at least it, it's my opinion that most of those involve adults. Adults who have the time to give and, and, uh, you know, the desire to, to give.","и, э-э, но большинство из них, по крайней мере, это, по моему мнению, в большинстве из них участвуют взрослые. Взрослые, у которых есть время отдавать и, ну, вы знаете, желание отдавать."
Yeah.,Да.
Uh-huh.,Угу.
Uh-huh.,Угу.
Yeah.,Да.
"It's not, uh, you know it's not, uh,","Это не, э-э, ты знаешь, что это не, э-э,"
"maybe the, maybe it uh,","может быть, может быть, это...,"
"younger people feel like it's not open to them,","молодые люди чувствуют, что это для них закрыто,"
I don't know.,Я не знаю.
But it should be if it's not.,"Но так и должно быть, если это не так."
Yeah.,Да.
"Uh, I suspect that yeah, that, that, that that's not the thing. That they, that they don't feel it's open to them","Э-э, я подозреваю, что да, это, это, что дело не в этом. Что они, что они не чувствуют, что это открыто для них"
"it's just that they, uh, are more self-centered if you will and not, not considering, a voluntary ,","просто они, э-э, более эгоцентричны, если хотите, и не рассматривают добровольное ,"
"Yeah,","Да,"
it is kind of an introspective time of life.,это своего рода интроспективный период жизни.
Yeah.,Да.
"But some schools, some high schools have actually started a program of like a visitation program to, uh, you know, areas economically, uh say less advantaged areas.","Но некоторые школы, некоторые старшие школы фактически запустили программу, похожую на программу посещения, э-э, вы знаете, районов с экономической точки зрения, э-э, скажем, менее благополучных районов."
Uh-huh.,Угу.
Uh-huh.,Угу.
"And, uh, they, they promote service on the part of the kids to, to, uh, some of those people.","И, э-э, они, они поощряют служение со стороны детей некоторым из этих людей."
So at least that's a step in the right direction I guess.,"Так что, по крайней мере, я думаю, это шаг в правильном направлении."
Yeah.,Да.
yeah.,да.
"And, uh, now I I don't know it","И, э-э, теперь я... я не знаю этого"
"I, I think you're right that that's not the, not the way that the society these days is going,","Я, я думаю, вы правы, что это не тот, не тот путь, по которому движется общество в наши дни,"
"and I, I think we need to, we need to try to figure out some way to, to turn that around that everybody,","и я, я думаю, нам нужно, нам нужно попытаться найти какой-то способ изменить это, чтобы все,"
"It's really, it's really unfortunate because when you do,","Это действительно, это действительно прискорбно, потому что, когда вы делаете,"
I do volunteer work for the American Lung Association.,Я работаю волонтером в Американской ассоциации легких.
Huh.,Хм.
"And I have, have done, uh, gone to work for American Heart and just recently for the Leukemia Society.","И я, действительно, э-э, пошел работать в American Heart и совсем недавно в Общество по борьбе с лейкемией."
"And there's, there's no question that doing, you know, doing that kind of service you get a lot more out of it than, uh, than the people involved.","И нет никаких сомнений в том, что, ну, вы знаете, оказывая такого рода услуги, вы получаете от этого гораздо больше, чем, э-э, чем вовлеченные в это люди."
Yeah.,Да.
"Uh, it's, it's really a gift to yourself","Э-э, это... это действительно подарок самому себе"
"and, and that's, I think that's a really important lesson to learn.","и, и это, я думаю, это действительно важный урок, который нужно усвоить."
Yeah.,Да.
"And, and maybe that's why we have so many people in society who are not, uh, not really happy, you know.","И, и, может быть, именно поэтому у нас в обществе так много людей, которые не... э-э... не совсем счастливы, вы знаете."
"Well, that could be.","Что ж, это могло бы быть."
"Because if you concentrate all of your energies and efforts on yourself, you're just kind of down the tube, you know","Потому что, если вы сконцентрируете всю свою энергию и усилия на себе, вы просто окажетесь в тупике, понимаете"
"Yeah,","Да,"
right.,верно.
"Uh, it really is better to give then to receive.","Э-э, на самом деле лучше отдавать, чем получать."
"Yeah,","Да,"
"I, I agree with that,","Я, я согласен с этим,"
