en,ru
"Okay,","Окей,"
"in order to make the, uh, curried chicken, I just fried the chicken, until it was nice and brown, you know","чтобы приготовить курицу с карри, я просто обжарила курицу, пока она не стала аппетитной и подрумяненной, понимаете"
Uh-huh.,Угу.
make sure it's nice and brown on both sides,"убедитесь, что оно хорошо подрумянилось с обеих сторон"
and then you take it out of the fat,а потом вынимаете его из жира
"and you, you let the chicken you fried kind of drain, so that a lot of the oil comes out of it","а ты, ты даешь курице, которую ты обжарил, немного стечь, чтобы из нее вытекло много масла"
Uh-huh.,Угу.
"And then you, you, uh, pour most of the, all of the oil out of the pan","А потом ты, ты, э-э, выливаешь большую часть, все масло со сковороды"
and you kind of clean it out,и ты как бы убираешь это
"and you put back maybe two tablespoons full of the oil and saute some, um, bell peppers and onions in, in that little bit of oil.","и вы добавляете еще, может быть, две столовые ложки масла и обжариваете немного, гм, болгарского перца и лука в этом небольшом количестве масла."
"Maybe one tablespoon or two tablespoons, let that brown, then put all of the chicken back in there.","Может быть, одну столовую ложку или две столовые ложки, дайте им подрумяниться, затем положите туда всю курицу."
"And then you, uh, mix flour and a cup of water, maybe, uh, one tablespoon of flour and a cup of water.","А затем вы, э-э, смешиваете муку и стакан воды, может быть, э-э, одну столовую ложку муки и стакан воды."
"Stir it real, real well.","Перемешайте это очень, очень хорошо."
Uh-huh.,Угу.
"Then you, uh, pour that in there, you know, to make the gravy.","Затем ты, э-э, наливаешь это туда, ну, знаешь, чтобы получилась подливка."
And you let it come to a boil again,И ты снова даешь ему закипеть
and then you let it simmer,а потом вы даете ему покипеть на медленном огне
"and you add, uh, about a tablespoon of, what I'm using now is Jamaican curry powder.","и вы добавляете примерно столовую ложку того, что я сейчас использую, - ямайского порошка карри."
Oh.,Ой.
"And that's going to, it's going to be really good","И это будет, это будет действительно хорошо"
"That's very spicy, too.",Это тоже очень пикантно.
"Yeah,","Да,"
"it's,","это,"
I mean these bell peppers and curry.,Я имею в виду эти болгарские перцы и карри.
"Right,","Правильно,"
"and then if you like it really hot, you can add some hot, hot peppers and hot sauce and all that kind of stuff.","а потом, если вы любите по-настоящему горячее, вы можете добавить немного острого перца, острого соуса и все такое прочее."
"Oh, that sounds really good.","О, это звучит действительно заманчиво."
Yeah.,Да.
Huh.,Хм.
"I guess it was,","Я думаю, это было,"
is this dinner time for you?,для тебя сейчас время ужина?
"Uh, well it will be in a little while,","Э-э, ну, это будет через некоторое время,"
"I'm trying to get it, get it ready early.","Я пытаюсь сделать это, подготовить пораньше."
"All done in advance,","Все сделано заранее,"
yeah.,да.
"That's um, I, uh, I'm, I'm not that great a cook","Это, эм, я, эм, я, я не настолько хорошо готовлю"
but I was single until I was thirty,"но я был холост, пока мне не исполнилось тридцать"
"so I did cook a little, you know.","так что, знаете, я все-таки немного приготовила."
Oh.,Ой.
"Uh, and I cook a little bit now.","Э-э, и сейчас я немного готовлю."
What I like to do mostly is stir fries,"Что мне больше всего нравится делать, так это жареную картошку"
"and my wife normally says, oh, Tom, why, why don't you make a stir fry tonight","и моя жена обычно говорит: о, Том, почему, почему бы тебе сегодня вечером не приготовить жаркое"
"and so we even, we just were recently married so we have a stir fry pan sort of like a big wok.","и вот мы квиты, мы совсем недавно поженились, так что у нас есть сковорода для жарки, что-то вроде большого вока."
Uh-huh.,Угу.
"And we do a lot of, um, stir fry vegetables.","И мы часто, гм, обжариваем овощи во фритюре."
"What kind of wok do you have,","Какой у вас вок,"
"is it, is it a real Chinese wok.","это, это настоящий китайский вок."
"It's, it's called a stir fry pan","Это, это называется сковорода для жарки"
"and it, and it fits right on your, uh, it fits right on your burner, whether it's gas or electric","и это, и это подходит прямо к вашей, э-э, это подходит прямо к вашей конфорке, будь то газовая или электрическая"
"so it's, it has a flatter bottom than a normal wok does.","так что дно у него более плоское, чем у обычного вока."
Uh-huh.,Угу.
I see.,Понимаю.
"And, um, normally what what we do is, um, just, you know, like two tablespoons of oil, maybe sesame oil or some other type of oil than just regular vegetable oil.","И, гм, обычно то, что мы делаем, это, гм, просто, знаете, примерно две столовые ложки масла, может быть, кунжутного масла или какого-нибудь другого вида масла, кроме обычного растительного."
"But I will use peanut, peanut oil, or things.","Но я буду использовать арахис, арахисовое масло или что-то еще."
"And then we just stir fry broccoli and carrots and, um, green peppers, and, um, maybe put in a little bit of, um garlic and ginger, uh, beforehand.","А потом мы просто обжариваем брокколи, морковь и, эм, зеленый перец, и, эм, может быть, предварительно добавим немного, эм, чеснока и имбиря."
"That gives, uh, uh, uh, spicier flavor","Это придает, э-э-э, э-э, более пикантный вкус"
"and then after the stir fry is over, just mix in, um, a little bit of, uh, sometimes chicken broth, and corn starch and soy sauce","а затем, когда обжарка закончится, просто добавьте, эм, немного, эм, иногда куриного бульона, кукурузного крахмала и соевого соуса"
Yeah.,Да.
"and that sort of makes a, uh, a glaze, that sticks to the, the vegetables,","и из этого получается, э-э, глазурь, которая прилипает к овощам,"
Uh-huh.,Угу.
"I've used,","Я использовал,"
you turn them over.,ты переворачиваешь их.
"A lot of times when we do stir fry we just put in tofu,","Часто, когда мы готовим жаркое, мы просто кладем тофу,"
"we don't put in meat, cause I guess we're, I'm not","мы не кладем мясо, потому что, я думаю, мы, я не"
Uh-huh.,Угу.
"but, uh, she likes to watch all the, how much red meat and things,","но, э-э, ей нравится наблюдать за тем, сколько красного мяса и прочего,"
"so. We'll do, a lot of times vegetarian.",так. Мы будем часто заниматься вегетарианством.
Yeah.,Да.
"But it's a real good meal because you have squash and broccoli and, uh, carrots and celery and green peppers and, um, oh, gee, mushrooms.","Но это действительно вкусное блюдо, потому что у вас есть кабачки, брокколи, морковь, сельдерей, зеленый перец и, о, боже, грибы."
"Oh that's, That sounds real good except the squash,","О, это звучит очень вкусно, за исключением кабачков,"
"It's, it's a pretty big","Это, это довольно большой"
and we put that over rice.,и мы кладем это поверх риса.
I just don't like squash.,Я просто не люблю сквош.
"Oh, you don't","О, ты не"
I never did.,Я никогда этого не делал.
My mother used to cook a whole pan full of squash,Моя мама обычно готовила целую сковороду кабачков
and she'd have squash and corn bread,и у нее были бы кабачки и кукурузный хлеб
Oh.,Ой.
"And maybe some, she'd have chicken or something.","И, может быть, немного, она бы съела курицу или что-нибудь в этом роде."
Uh-huh.,Угу.
"And I'd just be,","И я бы просто был,"
"Yeah,","Да,"
"see, we never, in fact I never had squash growing up.","видишь ли, у нас никогда, на самом деле, у меня в детстве никогда не было сквоша."
"My, my wife eats more vegetables, ate more vegetable than I did growing up.","Боже, моя жена ест больше овощей, ела больше овощей, чем я в детстве."
"I'm, I'm from Pittsburgh","Я, я из Питтсбурга"
and Pittsburgh is a very meat and potato town.,а Питтсбург - очень мясной и картофельный город.
Uh-huh.,Угу.
"Yeah,","Да,"
recipes in Pittsburgh consisted of red meat and a potato.,рецепты в Питтсбурге состояли из красного мяса и картофеля.
Uh-huh.,Угу.
Red meat and a potato.,Красное мясо и картофель.
"Oh, that sounds good.","О, звучит заманчиво."
"We, we were from North Carolina","Мы, мы были из Северной Каролины"
and we had a garden,и у нас был сад
"and my mother would, would, uh, grow the squash","и моя мама бы, э-э-э, выращивала кабачки"
"and she'd grow white potatoes and onions and cabbage and collards and all kinds of,","и она выращивала белый картофель, лук, капусту, листовую капусту и все виды,"
"Oh, she had all of those types of vegetables.","О, у нее были все эти виды овощей."
Right.,Верно.
"See, never, no vegetables in my family.","Видите ли, в моей семье никогда не было овощей."
Wow.,Вау.
"Yeah,","Да,"
it was really funny.,это было действительно забавно.
"You wouldn't believe it, we even raised chickens","Вы не поверите, мы даже разводили цыплят"
Well that was a real farm.,"Что ж, это была настоящая ферма."
You ever seen anybody kill a chicken?,"Вы когда-нибудь видели, как кто-нибудь убивает курицу?"
"No,","Нет,"
"but I, I've, I've heard stories uh,","но я, я, я слышал истории, э-э,"
I've heard stories.,Я слышал истории.
And they put the head under a tin tub and chop the head off.,И они кладут голову под жестяную ванну и отрубают ее.
Uh.,Ух.
And then you hear the chicken jumping around under the tub,"А потом вы слышите, как цыпленок прыгает под ванной"
"and finally it dies down,","и, наконец, все стихает,"
you get just a little patter,вы получаете всего лишь небольшую скороговорку
"and then it,","и тогда это,"
"Oh, this is","О, это"
"you shouldn't be talking about this right before, while you're fixing dinner.","тебе не следовало говорить об этом прямо сейчас, пока ты готовишь ужин."
Getting ready to eat chicken too.,Тоже готовлюсь съесть курицу.
"That's right,","Это верно,"
you should be careful,тебе следует быть осторожным
That's pretty funny.,Это довольно забавно.
"But my dad used to tell stories, you know, about the way they eat chickens","Но мой отец, знаете ли, часто рассказывал истории о том, как они едят цыплят"
"but I never, we never, we lived in the suburbs,","но я никогда, мы никогда, мы жили в пригороде,"
"we, we bought everything in a grocery store.","мы, мы купили все в продуктовом магазине."
Uh-huh.,Угу.
"There was no,","Там не было никакого,"
"but it was funny, you know,","но это было забавно, ты знаешь,"
"it so,","это так,"
"but when we got married, you know, a lot more vegetables, a lot more, you know, a lot of changes.","но когда мы поженились, вы знаете, гораздо больше овощей, намного больше, вы знаете, много изменений."
Well that's good.,"Что ж, это хорошо."
A lot of people are eating healthier now a days.,Сейчас многие люди питаются более здоровой пищей.
"I think so too,","Я тоже так думаю,"
