en,ru
"Well, I, I work, uh,","Ну, я, я работаю, э-э,"
I'm a C P A,Я C P A
and I do contract work.,и я выполняю работу по контракту.
"Oh, uh-huh.","О, угу."
"And so, and I work with another C P A who just started his own practice","И вот, и я работаю с другим C P A, который только начал свою собственную практику"
Oh.,Ой.
and I work with him a couple days a week,и я работаю с ним пару дней в неделю
Uh-huh.,Угу.
"and so when I go to his office or to other clients' offices, then I'll dress up","и поэтому, когда я иду в его офис или в офисы других клиентов, тогда я одеваюсь"
Uh-huh.,Угу.
but otherwise it's great being at home in jeans or shorts or whatever,"но в остальном здорово быть дома в джинсах, шортах или чем-то еще"
Uh-huh.,Угу.
"Uh-huh,","Ага,"
uh-huh.,угу.
"So that, that makes it pretty nice.","Так что, это делает его довольно милым."
"It's kind of weird because before I used to work, you know, full time","Это немного странно, потому что раньше я работал, ну, знаете, полный рабочий день"
Uh-huh.,Угу.
"and, and, uh, it seemed like I was wearing a suit every day, just about.","и, и, э-э, казалось, что я ношу костюм почти каждый день."
"Well, you'd have to dress differently when you're working every day, I think.","Ну, я думаю, тебе пришлось бы одеваться по-другому, когда ты работаешь каждый день."
Right.,Верно.
Yeah.,Да.
"Right,","Правильно,"
"and so it's, uh,","и так это, э-э-э,"
some of my suits I haven't put on for quite a while.,некоторые из моих костюмов я уже довольно давно не надевал.
"Uh-huh,","Ага,"
uh-huh.,угу.
Uh-huh.,Угу.
"So it's, It's, it's very nice.","Так что это, это, это очень мило."
It's kind of nice to relax a little bit.,В некотором роде приятно немного расслабиться.
Yeah.,Да.
"Gosh,","Боже,"
"Well, my, my dress up,","Ну, мой, мой наряд,"
I live out in the country also,Я тоже живу за городом
so what I wear depends on the weather.,"так что то, что я ношу, зависит от погоды."
Uh-huh.,Угу.
Sure.,Конечно.
"Uh, so I really, I know a lot of the Avon representatives are portrayed as being very dressed up.","Э-э, так что я действительно знаю, что многих представителей Avon изображают очень нарядными."
Uh-huh.,Угу.
"But, I mostly dress, I try to dress nice, but for convenience, because when the weather's bad, when I go into the home I take off my shoes which I try to wear something easy to take off, you know and put on.","Но в основном я одеваюсь, я стараюсь одеваться красиво, но для удобства, потому что в плохую погоду, когда я прихожу домой, я снимаю обувь, которую стараюсь надеть во что-нибудь легкое, ну, вы знаете, и надеваю."
Uh-huh.,Угу.
Right.,Верно.
"And I don't too often take off my coat even, we really only have maybe three, four months of, I'd say warm weather.","И я даже не слишком часто снимаю пальто, на самом деле у нас всего три-четыре месяца, я бы сказал, теплой погоды."
"Yeah,","Да,"
yeah.,да.
"Well, I imagine that where you live, uh, you're in warm clothing quite a bit of the year.","Ну, я полагаю, что там, где вы живете, э-э, вы довольно большую часть года носите теплую одежду."
Not really?,Не совсем?
"Oh, is that right?","О, это правда?"
"Yeah,","Да,"
"and the rest is, uh, gets into the cooler weather.","а остальное, э-э, зависит от более прохладной погоды."
Uh-huh.,Угу.
Uh-huh.,Угу.
"Course, they keep saying the weather's going to change and we're going to have more Florida type weather up here","Конечно, они продолжают говорить, что погода изменится, и у нас здесь будет больше погоды флоридского типа"
so I don't know.,так что я не знаю.
Uh-huh.,Угу.
"But for now, But for now, we have a lot of ice and snow in the wintertime and, uh, cold weather. And that type of thing.","Но пока, но пока у нас много льда и снега зимой и, э-э, холодная погода. И тому подобные вещи."
So you all are waiting for that,"Итак, вы все этого ждете"
Uh-huh.,Угу.
Yeah.,Да.
"Now, my daughter works all the time,","Теперь моя дочь все время работает,"
so she dresses.,поэтому она одевается.
"I think, you know, you have to spend more money on your clothing, and that because you do have to have the appearance, a good appearance to do a good job where you work.","Я думаю, вы знаете, что вам нужно тратить больше денег на свою одежду, и это потому, что у вас действительно должна быть внешность, хорошая внешность, чтобы хорошо выполнять свою работу там, где вы работаете."
Right.,Верно.
Right.,Верно.
Yeah.,Да.
"Well, down here it's sunny most of the time. And, uh, usually warm.","Ну, здесь, внизу, большую часть времени солнечно. И, э-э, обычно теплый."
Uh-huh.,Угу.
"I mean, we had a few cool days, uh, this month,","Я имею в виду, у нас было несколько классных дней, э-э, в этом месяце,"
"but not anything, I'm sure, compared to what you've had so far.","но я уверен, что это ничто по сравнению с тем, что у тебя было до сих пор."
"Um, uh-huh.","Эм, угу."
"So, I mean people are still wearing shorts","Итак, я имею в виду, что люди все еще носят шорты"
"and and, uh, usually around Halloween it starts getting cooler,","и и, э-э, обычно перед Хэллоуином становится прохладнее,"
Uh-huh.,Угу.
"so you start you know, breaking out a coat at that time,","итак, вы начинаете, знаете ли, снимать пальто в это время,"
Uh-huh.,Угу.
"Uh-huh,","Ага,"
uh-huh.,угу.
"Right,","Правильно,"
yeah.,да.
"but, that, that lasts, you know, for a few months","но это, это длится, знаете ли, несколько месяцев"
"Did you find you wore, uh, slacks when you were working full time","Вы обнаружили, что носили, э-э, брюки, когда работали полный рабочий день"
or did you did they wear more dresses and skirts.,или вы надели больше платьев и юбок?
No.,Нет.
"No,","Нет,"
never wore slacks.,никогда не носил слаксов.
No slacks.,Никаких брюк.
"It was, I think it was one of those things where, it's not like someone came out and said you can't wear them.","Это было, я думаю, это была одна из тех вещей, когда не похоже, чтобы кто-то вышел и сказал, что ты не можешь их носить."
