en,ru
uh-huh.,угу.
"Yeah,","Да,"
"I think that was probably the last movie I've seen, too.","Я думаю, что это, наверное, тоже был последний фильм, который я видел."
Yeah.,Да.
"And, and then I saw that other movie about, uh, MOTHER, MOTHER, WIFE, MURDERER.","И, и потом я посмотрел тот другой фильм о, э-э, МАТЕРИ, ТЕЩЕ, ЖЕНЕ, УБИЙЦЕ."
Did you see that one?,Ты видел это?
"Oh, uh, with, uh, Judith Light?","О, э-э, с, э-э, Джудит Лайт?"
Yeah.,Да.
"Uh,","Ух,"
"Did you see that one,","Ты видел это,"
"that was, was really good.","это было, было действительно хорошо."
"That was supposed to be a true story, too.",Это тоже должно было быть правдивой историей.
"Yeah,","Да,"
I did see that.,Я действительно это видел.
"Yeah,","Да,"
I did.,Я сделал.
"That was on a while ago, wasn't it?","Это было в эфире некоторое время назад, не так ли?"
Yeah.,Да.
"Yeah,","Да,"
I saw that.,Я это видел.
Guess a couple weeks ago or something like that.,"Думаю, пару недель назад или что-то в этом роде."
"Yeah,","Да,"
that was pretty good.,это было довольно хорошо.
"Boy we have we, we see all the same movies.","Парень, у нас есть мы, мы смотрим все одни и те же фильмы."
"I,","Я,"
Yeah.,Да.
"I like, uh, the true stories.","Мне нравятся, э-э, правдивые истории."
Yeah.,Да.
They're more interesting.,Они более интересны.
Uh-huh.,Угу.
"And it's hard to believe that, you know, this really happened.","И, знаете, трудно поверить, что это произошло на самом деле."
I know.,Я знаю.
Some of them are pretty bad.,Некоторые из них довольно плохи.
"Yeah,","Да,"
yeah.,да.
"But,","Но,"
Huh. Well We sure do have a lot in common.,"Хм. Что ж, у нас действительно много общего."
Yeah.,Да.
"If you're ever in town, we'll go see a movie","Если ты когда-нибудь будешь в городе, мы сходим в кино"
Okay,Окей
"But, and we don't really,","Но, и мы на самом деле не,"
"do you all have, do you all still have drive-ins up there","у вас у всех есть, у вас у всех все еще есть там въезды"
"or,","или,"
"Yeah,","Да,"
uh-huh.,угу.
"Yeah,","Да,"
do you have them there?,они у вас там есть?
"Um, well, we may have just a couple over here.","Эм, ну, возможно, у нас здесь есть только пара."
Okay Brian.,"Хорошо, Брайан."
"Hi,","Привет,"
how you doing Kevin?,"как у тебя дела, Кевин?"
"Fine, thanks","Отлично, спасибо"
"Good,","Хорошо,"
"good,","хороший,"
glad to hear that.,рад это слышать.
"I understand,","Я понимаю,"
Are you a total banner?,Вы настоящий знаток?
Total banner?,Общий баннер?
Yeah.,Да.
"No,","Нет,"
"I, I believe that, uh, the American public and I, as an individual and private citizen have a right to, to bear arms and to have a gun as long as I, uh, am responsible with it and protect the safety and welfare of my kids","Я, я верю, что, э-э, американская общественность и я, как частное лицо, имеем право носить оружие и владеть им до тех пор, пока я, э-э, несу ответственность за это и защищаю безопасность и благополучие моих детей"
"and, and so that they're not playing with it and so that they can't hurt themselves or anyone else playing with it.","и, и чтобы они не играли с этим, и чтобы они не могли навредить себе или кому-либо еще, играя с этим."
"I think that education with a gun is, is critical and important.","Я думаю, что обучение с оружием - это критично и важно."
"Uh, however, I do believe that, uh, guns ought to be maintained and, and controlled that you can't go out and just buy one off the corner and do whatever you want with it because people that are angry or have concerns or want to seek vengeance right away have easy access to guns","Э-э, однако, я действительно верю, что, э-э, оружие должно содержаться в надлежащем состоянии и контролироваться, что вы не можете пойти и просто купить его на углу и делать с ним все, что хотите, потому что люди, которые злы, обеспокоены или хотят немедленно отомстить, имеют легкий доступ к оружию"
"and in the heat of the moment, they can go and do some damage that can hurt themselves and other people,","и сгоряча они могут пойти и нанести какой-нибудь ущерб, который может навредить им самим и другим людям,"
"so on a scale of one to ten, I, I think I would rate myself as a, in the six or seven or eight.","итак, по шкале от одного до десяти я, я думаю, я бы оценил себя как ""а"" на шесть, семь или восемь баллов."
Okay.,Хорошо.
"But, I think that there ought to be some control,","Но я думаю, что должен быть какой-то контроль,"
"but I still think that, uh, individuals have a right.","но я все еще думаю, что, э-э, отдельные люди имеют право."
How do you feel about it?,Что вы думаете по этому поводу?
"Well, so, let me make sure,","Ну, итак, позвольте мне убедиться,"
"so you think that, uh, maybe a five day waiting period for handguns or that stuff would be legitimate?","итак, вы думаете, что, э-э, может быть, пятидневный период ожидания пистолетов или подобных вещей был бы законным?"
"Well, I don't know if a five day waiting period would be legitimate.","Ну, я не знаю, будет ли законным пятидневный период ожидания."
"Uh, that, uh, that might cool down some tempers.","Э-э, это, э-э, это могло бы немного остудить пыл."
"I think a, a one day would be sufficient.","Я думаю, одного дня было бы достаточно."
The reason I say that is there is an awful lot of people who go to gun shows,"Причина, по которой я это говорю, в том, что на оружейные выставки ходит очень много людей"
"and if you see an awful lot of exhibits and things and if you would like to purchase a gun, if that five day waiting period were in effect, you wouldn't be able to purchase one at that gun show.","и если вы видите ужасно много экспонатов и прочего, и если вы хотели бы приобрести оружие, если бы действовал этот пятидневный период ожидания, вы бы не смогли приобрести его на этой оружейной выставке."
"Uh, you just, you would be able to buy it,","Э-э, ты просто, ты бы смог это купить,"
"but they'd just have to mail it to you, I suppose, huh.","но им просто пришлось бы отправить это тебе по почте, я полагаю, хах."
"Well, I don't think you can mail thing, guns through the mail.","Ну, я не думаю, что вы можете отправлять такие вещи, как оружие, по почте."
I don't know.,Я не знаю.
Oh.,Ой.
Okay.,Хорошо.
"I think that's a, against the law ever since Kennedy was assassinated","Я думаю, что это противоречит закону с тех пор, как был убит Кеннеди"
"Oh, yeah?","О, да?"
"So, how do you feel about guns?","Итак, как вы относитесь к оружию?"
"Let's see,","Давайте посмотрим,"
I think that gun control has come up because there has been some crazies that killed people with guns,"Я думаю, что контроль над оружием появился потому, что было несколько сумасшедших, которые убивали людей с помощью оружия"
and I think that's the problem that we need to address is why these people want to kill other people rather than the instrument they particularly used in the assault,"и я думаю, что проблема, которую нам нужно решить, заключается в том, почему эти люди хотят убивать других людей, а не орудие, которое они конкретно использовали при нападении"
Uh-huh.,Угу.
"whether, you know,","будь, ты знаешь,"
"Well, do you think that there will continue to always be crazies?","Ну, а ты думаешь, что сумасшедшие всегда будут существовать?"
Sure.,Конечно.
"Then, uh, how do you propose that we prohibit those types of individuals from gaining access to guns?","Тогда, э-э, как вы предлагаете, чтобы мы запретили этим типам людей получать доступ к оружию?"
"Well, we have some laws on the books that, uh, don't allow convicted felons to purchase guns, if I understand correctly.","Ну, у нас есть некоторые действующие законы, которые, э-э, не позволяют осужденным преступникам приобретать оружие, если я правильно понимаю."
"And, uh, I would agree,","И, э-э, я бы согласился,"
"a, a short waiting period would be appropriate to, uh, take care of the heat of the moment type things,","о, короткий период ожидания был бы уместен, чтобы, э-э, позаботиться о вещах типа ""сгоряча"","
"but uh, I think banning semiautomatic twenty-two rifles is a, a bit on the extreme side.","но, э-э, я думаю, что запрещать полуавтоматические двадцать две винтовки - это немного чересчур."
Uh-huh.,Угу.
Uh-huh.,Угу.
And a total ban on guns would just leave guns in the hands of criminals who don't care what the rules are anyway.,"А полный запрет на оружие просто оставил бы оружие в руках преступников, которым все равно, каковы правила."
Okay.,Хорошо.
"Do you, uh, do you feel there is a need in the world today to have a, an automatic handgun?","Считаете ли вы, э-э, считаете ли вы, что сегодня в мире есть необходимость иметь автоматический пистолет?"
"The only purpose for handguns is to shoot people, in my opinion.","На мой взгляд, единственное предназначение пистолетов - стрелять в людей."
"or you could do it just for fun, you know, kind of like a game,","или вы могли бы сделать это просто для развлечения, знаете, что-то вроде игры,"
"but, uh,","но, э-э,"
"Well, I think that the, the police, uh, or law enforcement have a need because of the tight quarters they might find themselves,","Ну, я думаю, что у полиции, э-э, или правоохранительных органов есть необходимость из-за стесненных условий, в которых они могут оказаться,"
"but, the public, I don't know.","но, общественность, я не знаю."
I think that I should have a right to own a handgun.,"Я думаю, что у меня должно быть право владеть пистолетом."
